Age,Experience,SkillScore,EducationLevel,Performance
60,34,20,Bachelor,Low
50,21,66,High School,Medium
36,26,98,Master,High
29,34,59,PhD,Medium
42,0,32,High School,Low
60,34,40,Bachelor,Low
40,13,51,Master,Medium
44,2,16,Master,Low
32,0,25,Master,Low
32,4,99,Master,Medium
45,25,69,Bachelor,Medium
57,13,11,Bachelor,Low
45,26,10,Master,Low
24,8,57,Master,Medium
43,14,21,Master,Low
23,14,78,PhD,High
45,25,46,Bachelor,Medium
51,12,41,Bachelor,Low
59,31,18,Master,Low
23,31,28,Master,Low
42,3,57,Master,Medium
54,29,89,Master,High
33,22,12,Master,Low
43,14,29,Bachelor,Low
46,28,33,Bachelor,Low
48,35,63,High School,Medium
49,12,42,Bachelor,Medium
37,31,33,High School,Low
36,6,84,Bachelor,High
24,21,81,Bachelor,High
58,27,45,Bachelor,Medium
28,1,47,Bachelor,Low
42,5,93,High School,High
30,27,98,High School,High
60,27,34,Master,Low
39,19,27,Bachelor,Low
25,29,91,High School,High
46,10,75,Bachelor,High
35,27,63,Master,Medium
30,24,44,Bachelor,Medium
47,32,89,Master,High
23,0,70,High School,Low
41,26,50,High School,Medium
49,12,42,Bachelor,Medium
28,2,77,Bachelor,Medium
29,5,42,Master,Medium
56,7,23,Master,Low
35,26,30,PhD,Low
38,8,57,Bachelor,Medium
57,32,29,Bachelor,Low
25,23,17,Master,Low
23,14,16,Bachelor,Low
27,31,76,Bachelor,High
25,31,26,High School,Low
50,23,42,High School,Low
39,11,57,PhD,Medium
47,1,85,Master,Low
55,2,68,Master,Medium
31,16,95,Bachelor,High
57,1,31,Bachelor,Low
35,1,39,Bachelor,Low
52,27,47,Bachelor,Medium
36,22,60,Bachelor,Medium
29,31,63,Master,Medium
35,32,17,Master,Low
44,0,36,Bachelor,Low
42,18,36,PhD,Medium
37,1,30,Master,Low
39,25,39,Bachelor,Low
45,31,37,Master,Low
47,5,73,Bachelor,High
46,31,78,Bachelor,High
50,3,70,Bachelor,Medium
36,10,57,Master,Medium
22,16,28,High School,Low
46,23,13,High School,Low
28,4,44,High School,Low
30,33,73,High School,Medium
45,5,58,Master,Medium
22,21,26,Master,Low
29,10,53,Bachelor,Medium
45,15,39,High School,Low
32,32,55,Bachelor,Medium
38,8,15,Bachelor,Low
29,5,46,Bachelor,Medium
56,15,33,Bachelor,Low
56,28,55,Bachelor,Medium
54,2,62,Master,Medium
26,19,69,Master,High
60,35,72,High School,Medium
49,18,94,Bachelor,High
28,25,41,Master,Medium
30,2,96,Bachelor,Medium
29,18,42,Master,Medium
33,19,76,Master,High
55,31,27,Bachelor,Low
54,6,34,High School,Low
44,32,63,Master,Medium
45,17,67,High School,Medium
58,0,76,Bachelor,Low
